中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
九尾,Ninetales,キュウコン,['火'],陆上,引火,日照,"[73, 76, 75, 81, 100, 100]"
胖丁,Jigglypuff,プリン,"['一般', '妖精']",妖精,"['迷人之躯', '好胜']",友情防守,"[115, 45, 20, 45, 25, 20]"
胖可丁,Wigglytuff,プクリン,"['一般', '妖精']",妖精,"['迷人之躯', '好胜']",察觉,"[140, 70, 45, 85, 50, 45]"
超音蝠,Zubat,ズバット,"['毒', '飞行']",飞行,精神力,穿透,"[40, 45, 35, 30, 40, 55]"
大嘴蝠,Golbat,ゴルバット,"['毒', '飞行']",飞行,精神力,穿透,"[75, 80, 70, 65, 75, 90]"
走路草,Oddish,ナゾノクサ,"['草', '毒']",植物,叶绿素,逃跑,"[45, 50, 55, 75, 65, 30]"
臭臭花,Gloom,クサイハナ,"['草', '毒']",植物,叶绿素,恶臭,"[60, 65, 70, 85, 75, 40]"
霸王花,Vileplume,ラフレシア,"['草', '毒']",植物,叶绿素,孢子,"[75, 80, 85, 110, 90, 50]"
派拉斯,Paras,パラス,"['虫', '草']","['昆虫', '植物']","['孢子', '干燥皮肤']",湿气,"[35, 70, 55, 45, 55, 25]"
派拉斯特,Parasect,パラセクト,"['虫', '草']","['昆虫', '植物']","['孢子', '干燥皮肤']",湿气,"[60, 95, 80, 60, 80, 30]"
毛球,Venonat,コンパン,"['虫', '毒']",昆虫,"['复眼', '有色眼镜']",逃跑,"[60, 55, 50, 40, 55, 45]"
摩鲁蛾,Venomoth,モルフォン,"['虫', '毒']",昆虫,"['鳞粉', '有色眼镜']",奇迹皮肤,"[70, 65, 60, 90, 75, 90]"
地鼠,Diglett,ディグダ,['地面'],陆上,"['沙隐', '沙穴']",沙之力,"[10, 55, 25, 35, 45, 95]"
三地鼠,Dugtrio,ダグトリオ,['地面'],陆上,"['沙隐', '沙穴']",沙之力,"[35, 100, 50, 50, 70, 120]"
喵喵,Meowth,ニャース,['一般'],陆上,"['捡拾', '技术高手']",紧张感,"[40, 45, 35, 40, 40, 90]"
猫老大,Persian,ペルシアン,['一般'],陆上,"['柔软', '技术高手']",紧张感,"[65, 70, 60, 65, 65, 115]"
可达鸭,Psyduck,コダック,['水'],"['水中1', '陆上']","['湿气', '无关天气']",悠游自如,"[50, 52, 48, 65, 50, 55]"
哥达鸭,Golduck,ゴルダック,['水'],"['水中1', '陆上']","['湿气', '无关天气']",悠游自如,"[80, 82, 78, 95, 80, 85]"
猴怪,Mankey,マンキー,['格斗'],陆上,"['干劲', '愤怒穴位']",不服输,"[40, 80, 35, 35, 45, 70]"
火暴猴,Primeape,オコリザル,['格斗'],陆上,"['干劲', '愤怒穴位']",不服输,"[65, 105, 60, 60, 70, 95]"
卡蒂狗,Growlithe,ガーディ,['火'],陆上,"['威吓', '引火']",正义之心,"[55, 70, 45, 70, 50, 60]"
风速狗,Arcanine,ウインディ,['火'],陆上,"['威吓', '引火']",正义之心,"[90, 110, 80, 100, 80, 95]"
蚊香蝌蚪,Poliwag,ニョロモ,['水'],水中1,"['储水', '湿气']",悠游自如,"[40, 50, 40, 40, 40, 90]"
蚊香君,Poliwhirl,ニョロゾ,['水'],水中1,"['储水', '湿气']",悠游自如,"[65, 65, 65, 50, 50, 90]"
蚊香泳士,Poliwrath,ニョロボン,"['水', '格斗']",水中1,"['储水', '湿气']",悠游自如,"[90, 95, 95, 70, 90, 70]"
凯西,Abra,ケーシィ,['超能'],人形,"['同步', '精神力']",魔法防守,"[25, 20, 15, 105, 55, 90]"
勇基拉,Kadabra,ユンゲラー,['超能'],人形,"['同步', '精神力']",魔法防守,"[40, 35, 30, 120, 70, 105]"
胡地,Alakazam,フーディン,['超能'],人形,"['同步', '精神力']",魔法防守,"[55, 50, 45, 135, 95, 120]"
腕力,Machop,ワンリキー,['格斗'],人形,"['毅力', '无防守']",不屈之心,"[70, 80, 50, 35, 35, 35]"
豪力,Machoke,ゴーリキー,['格斗'],人形,"['毅力', '无防守']",不屈之心,"[80, 100, 70, 50, 60, 45]"
怪力,Machamp,カイリキー,['格斗'],人形,"['毅力', '无防守']",不屈之心,"[90, 130, 80, 65, 85, 55]"
喇叭芽,Bellsprout,マダツボミ,"['草', '毒']",植物,叶绿素,贪吃鬼,"[50, 75, 35, 70, 30, 40]"
口呆花,Weepinbell,ウツドン,"['草', '毒']",植物,叶绿素,贪吃鬼,"[65, 90, 50, 85, 45, 55]"
大食花,Victreebel,ウツボット,"['草', '毒']",植物,叶绿素,贪吃鬼,"[80, 105, 65, 100, 70, 70]"
玛瑙水母,Tentacool,メノクラゲ,"['水', '毒']",水中3,"['恒净之躯', '污泥浆']",雨盘,"[40, 40, 35, 50, 100, 70]"
毒刺水母,Tentacruel,ドククラゲ,"['水', '毒']",水中3,"['恒净之躯', '污泥浆']",雨盘,"[80, 70, 65, 80, 120, 100]"
小拳石,Geodude,イシツブテ,"['岩石', '地面']",矿物,"['坚硬脑袋', '结实']",沙隐,"[40, 80, 100, 30, 30, 20]"
隆隆石,Graveler,ゴローン,"['岩石', '地面']",矿物,"['坚硬脑袋', '结实']",沙隐,"[55, 95, 115, 45, 45, 35]"
隆隆岩,Golem,ゴローニャ,"['岩石', '地面']",矿物,"['坚硬脑袋', '结实']",沙隐,"[80, 120, 130, 55, 65, 45]"
小火马,Ponyta,ポニータ,['火'],陆上,"['逃跑', '引火']",火焰之躯,"[50, 85, 55, 65, 65, 90]"
烈焰马,Rapidash,ギャロップ,['火'],陆上,"['逃跑', '引火']",火焰之躯,"[65, 100, 70, 80, 80, 105]"
呆呆兽,Slowpoke,ヤドン,"['水', '超能']","['怪兽', '水中1']","['迟钝', '我行我素']",再生力,"[90, 65, 65, 40, 40, 15]"
呆壳兽,Slowbro,ヤドラン,"['水', '超能']","['怪兽', '水中1']","['迟钝', '我行我素']",再生力,"[95, 75, 110, 100, 80, 30]"
小磁怪,Magnemite,コイル,"['电', '钢']",矿物,"['磁力', '结实']",分析,"[25, 35, 70, 95, 55, 45]"
三合一磁怪,Magneton,レアコイル,"['电', '钢']",矿物,"['磁力', '结实']",分析,"[50, 60, 95, 120, 70, 70]"
大葱鸭,Farfetch’d,カモネギ,"['一般', '飞行']","['飞行', '陆上']","['锐利目光', '精神力']",不服输,"[52, 90, 55, 58, 62, 60]"
嘟嘟,Doduo,ドードー,"['一般', '飞行']",飞行,"['逃跑', '早起']",蹒跚,"[35, 85, 45, 35, 35, 75]"
嘟嘟利,Dodrio,ドードリオ,"['一般', '飞行']",飞行,"['逃跑', '早起']",蹒跚,"[60, 110, 70, 60, 60, 110]"
小海狮,Seel,パウワウ,['水'],"['水中1', '陆上']","['厚脂肪', '湿润之躯']",冰冻之躯,"[65, 45, 55, 45, 70, 45]"
白海狮,Dewgong,ジュゴン,"['水', '冰']","['水中1', '陆上']","['厚脂肪', '湿润之躯']",冰冻之躯,"[90, 70, 80, 70, 95, 70]"
臭泥,Grimer,ベトベター,['毒'],不定形,"['恶臭', '黏着']",毒手,"[80, 80, 50, 40, 50, 25]"
臭臭泥,Muk,ベトベトン,['毒'],不定形,"['恶臭', '黏着']",毒手,"[105, 105, 75, 65, 100, 50]"
大舌贝,Shellder,シェルダー,['水'],水中3,"['硬壳盔甲', '连续攻击']",防尘,"[30, 65, 100, 45, 25, 40]"
刺甲贝,Cloyster,パルシェン,"['水', '冰']",水中3,"['硬壳盔甲', '连续攻击']",防尘,"[50, 95, 180, 85, 45, 70]"
鬼斯,Gastly,ゴース,"['幽灵', '毒']",不定形,飘浮,-,"[30, 35, 30, 100, 35, 80]"
鬼斯通,Haunter,ゴースト,"['幽灵', '毒']",不定形,飘浮,-,"[45, 50, 45, 115, 55, 95]"
耿鬼,Gengar,ゲンガー,"['幽灵', '毒']",不定形,诅咒之躯,-,"[60, 65, 60, 130, 75, 110]"
大岩蛇,Onix,イワーク,"['岩石', '地面']",矿物,"['坚硬脑袋', '结实']",碎裂铠甲,"[35, 45, 160, 30, 45, 70]"
催眠貘,Drowzee,スリープ,['超能'],人形,"['不眠', '预知梦']",精神力,"[60, 48, 45, 43, 90, 42]"
引梦貘人,Hypno,スリーパー,['超能'],人形,"['不眠', '预知梦']",精神力,"[85, 73, 70, 73, 115, 67]"
大钳蟹,Krabby,クラブ,['水'],水中3,"['怪力钳', '硬壳盔甲']",强行,"[30, 105, 90, 25, 25, 50]"
巨钳蟹,Kingler,キングラー,['水'],水中3,"['怪力钳', '硬壳盔甲']",强行,"[55, 130, 115, 50, 50, 75]"
霹雳电球,Voltorb,ビリリダマ,['电'],矿物,"['隔音', '静电']",引爆,"[40, 30, 50, 55, 55, 100]"
顽皮雷弹,Electrode,マルマイン,['电'],矿物,"['隔音', '静电']",引爆,"[60, 50, 70, 80, 80, 150]"
蛋蛋,Exeggcute,タマタマ,"['草', '超能']",植物,叶绿素,收获,"[60, 40, 80, 60, 45, 40]"
椰蛋树,Exeggutor,ナッシー,"['草', '超能']",植物,叶绿素,收获,"[95, 95, 85, 125, 75, 55]"
卡拉卡拉,Cubone,カラカラ,['地面'],怪兽,"['坚硬脑袋', '避雷针']",战斗盔甲,"[50, 50, 95, 40, 50, 35]"
嘎啦嘎啦,Marowak,ガラガラ,['地面'],怪兽,"['坚硬脑袋', '避雷针']",战斗盔甲,"[60, 80, 110, 50, 80, 45]"
飞腿郎,Hitmonlee,サワムラー,['格斗'],人形,"['柔软', '舍身']",轻装,"[50, 120, 53, 35, 110, 87]"
快拳郎,Hitmonchan,エビワラー,['格斗'],人形,"['锐利目光', '铁拳']",精神力,"[50, 105, 79, 35, 110, 76]"
大舌头,Lickitung,ベロリンガ,['一般'],怪兽,"['我行我素', '迟钝']",无关天气,"[90, 55, 75, 60, 75, 30]"
瓦斯弹,Koffing,ドガース,['毒'],不定形,"['飘浮', '化学变化气体']",恶臭,"[40, 65, 95, 60, 45, 35]"
双弹瓦斯,Weezing,マタドガス,['毒'],不定形,"['飘浮', '化学变化气体']",恶臭,"[65, 90, 120, 85, 70, 60]"
独角犀牛,Rhyhorn,サイホーン,"['地面', '岩石']","['怪兽', '陆上']","['避雷针', '坚硬脑袋']",舍身,"[80, 85, 95, 30, 30, 25]"
钻角犀兽,Rhydon,サイドン,"['地面', '岩石']","['怪兽', '陆上']","['避雷针', '坚硬脑袋']",舍身,"[105, 130, 120, 45, 45, 40]"
吉利蛋,Chansey,ラッキー,['一般'],妖精,"['自然回复', '天恩']",治愈之心,"[250, 5, 5, 35, 105, 50]"
蔓藤怪,Tangela,モンジャラ,['草'],植物,"['叶绿素', '叶子防守']",再生力,"[65, 55, 115, 100, 40, 60]"
袋兽,Kangaskhan,ガルーラ,['一般'],怪兽,"['早起', '胆量']",精神力,"[105, 95, 80, 40, 80, 90]"
墨海马,Horsea,タッツー,['水'],"['水中1', '飞龙']","['悠游自如', '狙击手']",湿气,"[30, 40, 70, 70, 25, 60]"
海刺龙,Seadra,シードラ,['水'],"['水中1', '飞龙']","['毒刺', '狙击手']",湿气,"[55, 65, 95, 95, 45, 85]"
角金鱼,Goldeen,トサキント,['水'],水中2,"['悠游自如', '水幕']",避雷针,"[45, 67, 60, 35, 50, 63]"
金鱼王,Seaking,アズマオウ,['水'],水中2,"['悠游自如', '水幕']",避雷针,"[80, 92, 65, 65, 80, 68]"
海星星,Staryu,ヒトデマン,['水'],水中3,"['发光', '自然回复']",分析,"[30, 45, 55, 70, 55, 85]"
宝石海星,Starmie,スターミー,"['水', '超能']",水中3,"['发光', '自然回复']",分析,"[60, 75, 85, 100, 85, 115]"
魔墙人偶,Mr. Mime,バリヤード,"['超能', '妖精']",人形,"['隔音', '过滤']",技术高手,"[40, 45, 65, 100, 120, 90]"
飞天螳螂,Scyther,ストライク,"['虫', '飞行']",昆虫,"['虫之预感', '技术高手']",不屈之心,"[70, 110, 80, 55, 80, 105]"
迷唇姐,Jynx,ルージュラ,"['冰', '超能']",人形,"['迟钝', '预知梦']",干燥皮肤,"[65, 50, 35, 115, 95, 95]"
电击兽,Electabuzz,エレブー,['电'],人形,静电,干劲,"[65, 83, 57, 95, 85, 105]"
鸭嘴火兽,Magmar,ブーバー,['火'],人形,火焰之躯,干劲,"[65, 95, 57, 100, 85, 93]"
凯罗斯,Pinsir,カイロス,['虫'],昆虫,"['怪力钳', '破格']",自信过度,"[65, 125, 100, 55, 70, 85]"
肯泰罗,Tauros,ケンタロス,['一般'],陆上,"['威吓', '愤怒穴位']",强行,"[75, 100, 95, 40, 70, 110]"
鲤鱼王,Magikarp,コイキング,['水'],"['水中2', '飞龙']",悠游自如,胆怯,"[20, 10, 55, 15, 20, 80]"
暴鲤龙,Gyarados,ギャラドス,"['水', '飞行']","['水中2', '飞龙']",威吓,自信过度,"[95, 125, 79, 60, 100, 81]"
拉普拉斯,Lapras,ラプラス,"['水', '冰']","['怪兽', '水中1']","['储水', '硬壳盔甲']",湿润之躯,"[130, 85, 80, 85, 95, 60]"
百变怪,Ditto,メタモン,['一般'],百变怪,柔软,变身者,"[48, 48, 48, 48, 48, 48]"
伊布,Eevee,イーブイ,['一般'],陆上,"['逃跑', '适应力']",危险预知,"[55, 55, 50, 45, 65, 55]"
水伊布,Vaporeon,シャワーズ,['水'],陆上,储水,湿润之躯,"[130, 65, 60, 110, 95, 65]"
雷伊布,Jolteon,サンダース,['电'],陆上,蓄电,飞毛腿,"[65, 65, 60, 110, 95, 130]"
火伊布,Flareon,ブースター,['火'],陆上,引火,毅力,"[65, 130, 60, 95, 110, 65]"
多边兽,Porygon,ポリゴン,['一般'],矿物,"['复制', '下载']",分析,"[65, 60, 70, 85, 75, 40]"
菊石兽,Omanyte,オムナイト,"['岩石', '水']","['水中1', '水中3']","['悠游自如', '硬壳盔甲']",碎裂铠甲,"[35, 40, 100, 90, 55, 35]"
多刺菊石兽,Omastar,オムスター,"['岩石', '水']","['水中1', '水中3']","['悠游自如', '硬壳盔甲']",碎裂铠甲,"[70, 60, 125, 115, 70, 55]"
化石盔,Kabuto,カブト,"['岩石', '水']","['水中1', '水中3']","['悠游自如', '战斗盔甲']",碎裂铠甲,"[30, 80, 90, 55, 45, 55]"
镰刀盔,Kabutops,カブトプス,"['岩石', '水']","['水中1', '水中3']","['悠游自如', '战斗盔甲']",碎裂铠甲,"[60, 115, 105, 65, 70, 80]"
化石翼龙,Aerodactyl,プテラ,"['岩石', '飞行']",飞行,"['坚硬脑袋', '压迫感']",紧张感,"[80, 105, 65, 60, 75, 130]"
卡比兽,Snorlax,カビゴン,['一般'],怪兽,"['免疫', '厚脂肪']",贪吃鬼,"[160, 110, 65, 65, 110, 30]"
急冻鸟,Articuno,フリーザー,"['冰', '飞行']",未发现,压迫感,雪隐,"[90, 85, 100, 95, 125, 85]"
闪电鸟,Zapdos,サンダー,"['电', '飞行']",未发现,压迫感,静电,"[90, 90, 85, 125, 90, 100]"
火焰鸟,Moltres,ファイヤー,"['火', '飞行']",未发现,压迫感,火焰之躯,"[90, 100, 90, 125, 85, 90]"
迷你龙,Dratini,ミニリュウ,['龙'],"['水中1', '飞龙']",蜕皮,神奇鳞片,"[41, 64, 45, 50, 50, 50]"
哈克龙,Dragonair,ハクリュー,['龙'],"['水中1', '飞龙']",蜕皮,神奇鳞片,"[61, 84, 65, 70, 70, 70]"
快龙,Dragonite,カイリュー,"['龙', '飞行']","['水中1', '飞龙']",精神力,多重鳞片,"[91, 134, 95, 100, 100, 80]"
超梦,Mewtwo,ミュウツー,['超能'],未发现,压迫感,紧张感,"[106, 110, 90, 154, 90, 130]"
梦幻,Mew,ミュウ,['超能'],未发现,同步,-,"[100, 100, 100, 100, 100, 100]"
菊草叶,Chikorita,チコリータ,['草'],"['怪兽', '植物']",茂盛,叶子防守,"[45, 49, 65, 49, 65, 45]"
月桂叶,Bayleef,ベイリーフ,['草'],"['怪兽', '植物']",茂盛,叶子防守,"[60, 62, 80, 63, 80, 60]"
大竺葵,Meganium,メガニウム,['草'],"['怪兽', '植物']",茂盛,叶子防守,"[80, 82, 100, 83, 100, 80]"
火球鼠,Cyndaquil,ヒノアラシ,['火'],陆上,猛火,引火,"[39, 52, 43, 60, 50, 65]"
火岩鼠,Quilava,マグマラシ,['火'],陆上,猛火,引火,"[58, 64, 58, 80, 65, 80]"
火暴兽,Typhlosion,バクフーン,['火'],陆上,猛火,引火,"[78, 84, 78, 109, 85, 100]"
小锯鳄,Totodile,ワニノコ,['水'],"['怪兽', '水中1']",激流,强行,"[50, 65, 64, 44, 48, 43]"
蓝鳄,Croconaw,アリゲイツ,['水'],"['怪兽', '水中1']",激流,强行,"[65, 80, 80, 59, 63, 58]"
大力鳄,Feraligatr,オーダイル,['水'],"['怪兽', '水中1']",激流,强行,"[85, 105, 100, 79, 83, 78]"
尾立,Sentret,オタチ,['一般'],陆上,"['逃跑', '锐利目光']",察觉,"[35, 46, 34, 35, 45, 20]"
大尾立,Furret,オオタチ,['一般'],陆上,"['逃跑', '锐利目光']",察觉,"[85, 76, 64, 45, 55, 90]"
咕咕,Hoothoot,ホーホー,"['一般', '飞行']",飞行,"['不眠', '锐利目光']",有色眼镜,"[60, 30, 30, 36, 56, 50]"
猫头夜鹰,Noctowl,ヨルノズク,"['一般', '飞行']",飞行,"['不眠', '锐利目光']",有色眼镜,"[100, 50, 50, 86, 96, 70]"
芭瓢虫,Ledyba,レディバ,"['虫', '飞行']",昆虫,"['虫之预感', '早起']",胆怯,"[40, 20, 30, 40, 80, 55]"
安瓢虫,Ledian,レディアン,"['虫', '飞行']",昆虫,"['虫之预感', '早起']",铁拳,"[55, 35, 50, 55, 110, 85]"
圆丝蛛,Spinarak,イトマル,"['虫', '毒']",昆虫,"['虫之预感', '不眠']",狙击手,"[40, 60, 40, 40, 40, 30]"
阿利多斯,Ariados,アリアドス,"['虫', '毒']",昆虫,"['虫之预感', '不眠']",狙击手,"[70, 90, 70, 60, 60, 40]"
叉字蝠,Crobat,クロバット,"['毒', '飞行']",飞行,精神力,穿透,"[85, 90, 80, 70, 80, 130]"
灯笼鱼,Chinchou,チョンチー,"['水', '电']",水中2,"['蓄电', '发光']",储水,"[75, 38, 38, 56, 56, 67]"
电灯怪,Lanturn,ランターン,"['水', '电']",水中2,"['蓄电', '发光']",储水,"[125, 58, 58, 76, 76, 67]"
皮丘,Pichu,ピチュー,['电'],未发现,静电,避雷针,"[20, 40, 15, 35, 35, 60]"
皮宝宝,Cleffa,ピィ,['妖精'],未发现,"['迷人之躯', '魔法防守']",友情防守,"[50, 25, 28, 45, 55, 15]"
宝宝丁,Igglybuff,ププリン,"['一般', '妖精']",未发现,"['迷人之躯', '好胜']",友情防守,"[90, 30, 15, 40, 20, 15]"
波克比,Togepi,トゲピー,['妖精'],未发现,"['活力', '天恩']",超幸运,"[35, 20, 65, 40, 65, 20]"
波克基古,Togetic,トゲチック,"['妖精', '飞行']","['飞行', '妖精']","['活力', '天恩']",超幸运,"[55, 40, 85, 80, 105, 40]"
天然雀,Natu,ネイティ,"['超能', '飞行']",飞行,"['同步', '早起']",魔法镜,"[40, 50, 45, 70, 45, 70]"
天然鸟,Xatu,ネイティオ,"['超能', '飞行']",飞行,"['同步', '早起']",魔法镜,"[65, 75, 70, 95, 70, 95]"
咩利羊,Mareep,メリープ,['电'],"['怪兽', '陆上']",静电,正电,"[55, 40, 40, 65, 45, 35]"
茸茸羊,Flaaffy,モココ,['电'],"['怪兽', '陆上']",静电,正电,"[70, 55, 55, 80, 60, 45]"
电龙,Ampharos,デンリュウ,['电'],"['怪兽', '陆上']",静电,正电,"[90, 75, 85, 115, 90, 55]"
美丽花,Bellossom,キレイハナ,['草'],植物,叶绿素,治愈之心,"[75, 80, 95, 90, 100, 50]"
玛力露,Marill,マリル,"['水', '妖精']","['水中1', '妖精']","['厚脂肪', '大力士']",食草,"[70, 20, 50, 20, 50, 40]"
玛力露丽,Azumarill,マリルリ,"['水', '妖精']","['水中1', '妖精']","['厚脂肪', '大力士']",食草,"[100, 50, 80, 60, 80, 50]"
树才怪,Sudowoodo,ウソッキー,['岩石'],矿物,"['结实', '坚硬脑袋']",胆怯,"[70, 100, 115, 30, 65, 30]"
蚊香蛙皇,Politoed,ニョロトノ,['水'],水中1,"['储水', '湿气']",降雨,"[90, 75, 75, 90, 100, 70]"
毽子草,Hoppip,ハネッコ,"['草', '飞行']","['妖精', '植物']","['叶绿素', '叶子防守']",穿透,"[35, 35, 40, 35, 55, 50]"
毽子花,Skiploom,ポポッコ,"['草', '飞行']","['妖精', '植物']","['叶绿素', '叶子防守']",穿透,"[55, 45, 50, 45, 65, 80]"
毽子棉,Jumpluff,ワタッコ,"['草', '飞行']","['妖精', '植物']","['叶绿素', '叶子防守']",穿透,"[75, 55, 70, 55, 95, 110]"
长尾怪手,Aipom,エイパム,['一般'],陆上,"['逃跑', '捡拾']",连续攻击,"[55, 70, 55, 40, 55, 85]"
向日种子,Sunkern,ヒマナッツ,['草'],植物,"['叶绿素', '太阳之力']",早起,"[30, 30, 30, 30, 30, 30]"
向日花怪,Sunflora,キマワリ,['草'],植物,"['叶绿素', '太阳之力']",早起,"[75, 75, 55, 105, 85, 30]"
蜻蜻蜓,Yanma,ヤンヤンマ,"['虫', '飞行']",昆虫,"['加速', '复眼']",察觉,"[65, 65, 45, 75, 45, 95]"
乌波,Wooper,ウパー,"['水', '地面']","['水中1', '陆上']","['湿气', '储水']",纯朴,"[55, 45, 45, 25, 25, 15]"
沼王,Quagsire,ヌオー,"['水', '地面']","['水中1', '陆上']","['湿气', '储水']",纯朴,"[95, 85, 85, 65, 65, 35]"
太阳伊布,Espeon,エーフィ,['超能'],陆上,同步,魔法镜,"[65, 65, 60, 130, 95, 110]"
月亮伊布,Umbreon,ブラッキー,['恶'],陆上,同步,精神力,"[95, 65, 110, 60, 130, 65]"
黑暗鸦,Murkrow,ヤミカラス,"['恶', '飞行']",飞行,"['不眠', '超幸运']",恶作剧之心,"[60, 85, 42, 85, 42, 91]"
呆呆王,Slowking,ヤドキング,"['水', '超能']","['怪兽', '水中1']","['迟钝', '我行我素']",再生力,"[95, 75, 80, 100, 110, 30]"
梦妖,Misdreavus,ムウマ,['幽灵'],不定形,飘浮,-,"[60, 60, 60, 85, 85, 85]"
未知图腾,Unown,アンノーン,['超能'],未发现,飘浮,-,"[48, 72, 48, 72, 48, 48]"
果然翁,Wobbuffet,ソーナンス,['超能'],不定形,踩影,心灵感应,"[190, 33, 58, 33, 58, 33]"
麒麟奇,Girafarig,キリンリキ,"['一般', '超能']",陆上,"['精神力', '早起']",食草,"[70, 80, 65, 90, 65, 85]"
榛果球,Pineco,クヌギダマ,['虫'],昆虫,结实,防尘,"[50, 65, 90, 35, 35, 15]"
